"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Îles Féroé","FRO","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronésie, États fédérés de","FSM","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","1.9","","","","","","","",
"Gabon","GAB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","","","2.2","","","",
"Royaume-Uni","GBR","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","3.2","","","","","3.6","","","","","3.6","","","","","","","2.8","","","","","2.6","","","2.8","2.4","","","","2.6","","","","","2.5","2.6","2.7","2.6","2.7","2.8","2.9","2.9","3.1","2.9","2.9","2.9","2.8","","","","",
"Géorgie","GEO","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","1.8","1.7","1.9","1.8","2","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.1","2","2.2","2.3","2.4","2.6","2.6","2.3","2.4","","",
"Ghana","GHA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.9","","","2.6","","","","","","","2.2","","","","","","","1.9","","","","","","","2","","","","1.6","","","","",
"Gibraltar","GIB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinée","GIN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","2.1","","","","","","","","2.3","","","","","2.5","","","","","3","","","","","","","","",
"Gambie","GMB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","1.8","","","","","","","2.2","","","","","3","","","","","",
"Guinée-Bissau","GNB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","","2.9","","","","","","","","1.6","","","","","","","","","","",
"Guinée équatoriale","GNQ","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grèce","GRC","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2.5","","","2.7","2.6","2.6","2.5","2.6","2.6","2.6","2.4","2","1.9","2","2","1.9","2.2","2.4","","","",
"Grenade","GRD","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Groenland","GRL","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","0.7","","","","","","","","","","","1.2","","","","","","1.1","","","","","","","","1.7","","","","","","",
