,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
8,2009-Q1,-0.055977157057468634,-0.037563800925606794,-0.016400386531207983,9.21468287114822,4227.609,1768.683,5195.75,Hungary,10
9,2009-Q2,-0.0558923345540099,-0.042158573869259905,-0.015405788385750668,9.739371562115812,4175.745,1760.8270000000002,5244.819,Hungary,10
10,2009-Q3,-0.05629790729554721,-0.05354541807953497,-0.018603488885367128,10.5217908418155,4097.265,1698.296,5458.86,Hungary,10
11,2009-Q4,-0.05507537267069837,-0.05067731332204705,-0.014285607504794219,10.6437824139383,4105.385,1696.461,5674.981,Hungary,10
12,2010-Q1,-0.055447258760862074,-0.05077971172457414,-0.008814787450529864,11.1465668299113,4111.262,1593.4779999999996,5710.948,Hungary,10
13,2010-Q2,-0.047589665565468904,-0.05123157870870399,-0.007052175594990637,11.346515978106899,4076.558,1586.866,5944.783,Hungary,10
14,2010-Q3,-0.03833177401297806,-0.04821634470954923,-0.0066545417499565985,11.100371287426801,4109.38,1568.591,6072.749,Hungary,10
15,2010-Q4,-0.041353878636204225,-0.049347233609793505,-0.007903819197762906,11.0941878328954,4105.002,1519.879,6244.6190000000015,Hungary,10
16,2011-Q1,-0.031130343469339808,-0.04888078123614089,-0.00736968951814644,11.0984281020831,4116.598,1587.227,6413.576999999998,Hungary,10
17,2011-Q2,-0.03151822466015567,-0.04362878981593425,-0.0026932330627070238,11.026690882936899,4153.112,1537.223,6295.026,Hungary,10
18,2011-Q3,-0.028099514245757674,-0.04168775339042321,-0.001010424545583063,10.996292679686697,4160.188,1524.804,6350.696999999999,Hungary,10
19,2011-Q4,-0.01770185059679307,-0.03831819968926188,0.0025184374768583468,10.997738144918099,4111.788,1537.986,6449.933000000001,Hungary,10
20,2012-Q1,-0.035155655958471824,-0.03639657175574491,0.007153590926716257,11.230321699451,4081.17,1533.3770000000004,6348.385,Hungary,10
21,2012-Q2,-0.041665419573907514,-0.027825232499355375,0.014996756143168585,11.132757244119404,4041.62,1483.456,6296.286,Hungary,10
22,2012-Q3,-0.03995406497912697,-0.019151194014247055,0.019548540144512756,10.740145267903197,4016.475,1493.529,6268.196,Hungary,10
23,2012-Q4,-0.03996824245470508,-0.019648630457943152,0.02100218593821368,10.912432047191999,4029.908,1491.894,6161.7440000000015,Hungary,10
24,2013-Q1,-0.037642772934884085,-0.027627509920924578,0.013107327704472085,10.9489136231378,4025.536,1516.293,6290.364000000001,Hungary,10
25,2013-Q2,-0.028149559522798323,-0.011075306467236755,0.023267314153540237,10.3322784219611,4026.702,1607.158,6447.73,Hungary,10
26,2013-Q3,-0.013694229658382179,-0.005517030161520709,0.02611053777251412,10.078153196180699,4039.291,1689.005,6633.46,Hungary,10
27,2013-Q4,-0.004716737067325086,0.007891992899208534,0.03172251634545944,9.361418244638367,4052.939,1777.965,6731.866,Hungary,10
28,2014-Q1,0.003372906262530147,0.03971086562930422,0.046450569909575135,7.81592995085721,4078.031,1835.317,6970.53,Hungary,10
29,2014-Q2,0.016507307398085553,0.03614297707131261,0.047398137870494274,8.21538187392196,4121.018,1840.765,7045.384,Hungary,10
30,2014-Q3,0.025937267457592162,0.04742545638245886,0.051305017289092626,7.56075223236025,4145.572,1875.162,7227.334,Hungary,10
31,2014-Q4,0.032194744712740725,0.052336500430404824,0.05342261127900909,7.314027042089402,4187.943,1841.728,7261.108,Hungary,10
32,2015-Q1,0.050143307619593284,0.05932978147204743,0.06120486222995736,7.38230552830296,4223.968,1806.398,7471.8780000000015,Hungary,10
33,2015-Q2,0.051610615754422814,0.06808058738246717,0.06547500143503109,6.99147175056247,4263.699000000001,1956.505,7499.5340000000015,Hungary,10
34,2015-Q3,0.0593315235442429,0.07766707347507504,0.06993588819411148,6.54794112994537,4309.639,1919.672,7713.107,Hungary,10
35,2015-Q4,0.07076898991060547,0.08216133569985518,0.07198842307325573,6.337890931572431,4360.205,2069.985,7919.291,Hungary,10
36,2016-Q1,0.0640835225380057,0.09502720000952113,0.07785102546021667,5.73983777804258,4420.769,1662.3670000000004,7688.574,Hungary,10
37,2016-Q2,0.07906172254874161,0.1042557677539426,0.08070570169788156,5.19652673098724,4465.439,1660.0320000000004,8033.641,Hungary,10
38,2016-Q3,0.08417421718220366,0.11097371073332625,0.08473000999688877,4.97362949579207,4513.127,1777.951,8054.746,Hungary,10
39,2016-Q4,0.09353244163878541,0.12065372798057224,0.08934626421977347,4.551851825136612,4570.138,1831.173,7991.073,Hungary,10
40,2017-Q1,0.10939061453540229,0.12090539045989497,0.08710826513514652,4.33387673304594,4621.077,1982.926,8348.110999999999,Hungary,10
41,2017-Q2,0.12297481728929807,0.12396223673319029,0.09001294804343671,4.32861125623137,4685.017,2056.328,8417.749,Hungary,10
42,2017-Q3,0.13257502823074674,0.1272740553744642,0.09049457689515415,4.08908888873874,4751.887,2102.695,8498.098,Hungary,10
43,2017-Q4,0.14853413990647946,0.12986632459284705,0.09054844014065401,3.87328105175046,4818.175,2153.499,8561.198,Hungary,10
44,2018-Q1,0.16941683438297145,0.13711995561543558,0.09565570559676714,3.70711656762878,4876.792,2232.733,8710.854,Hungary,10
45,2018-Q2,0.18233760398481572,0.1380683882772124,0.09561510837667174,3.62323094534302,4935.575,2376.887,8955.222,Hungary,10
46,2018-Q3,0.19727933031906467,0.13717325183444404,0.09710711760632326,3.82999949767066,4988.786,2485.68,8732.433,Hungary,10
47,2018-Q4,0.20993060670992056,0.13854669460985214,0.09664014432441688,3.6728475950357904,5035.339,2561.426,9130.714,Hungary,10
48,2019-Q1,0.2294817090571167,0.15289546867159792,0.10743391385561758,3.4095636084632,5087.43,2700.4390000000008,9312.67,Hungary,10
49,2019-Q2,0.23877680133612414,0.1474283507528278,0.10196757811677337,3.39073581079066,5158.3690000000015,2702.415,9313.335,Hungary,10
50,2019-Q3,0.2504804891883419,0.14620197559267414,0.10179418780404643,3.47880487248484,5213.595,2804.9770000000008,9629.674,Hungary,10
