index,LOCATION,TIME,PIB,Actifs,Emplois,Chomage,ID_country,Conso_share,Invest_share,Export_share,Labor_prod
1163,CHE,2008-Q1,0.33932899227558566,0.11873286655911024,0.12053210108556271,3.91076767403158,5.0,0.5294042751007378,0.23941952112985868,0.626439319080112,0.009308432050623594
1164,CHE,2008-Q2,0.34794191554246623,0.1265730286454111,0.12910475237877558,3.84946525671727,5.0,0.5296897280126913,0.24300725956961797,0.6382552074018101,-0.0012112157603390017
1165,CHE,2008-Q3,0.3495414666714728,0.12802193438644066,0.13042677219220536,3.8605334523377097,5.0,0.529284796268053,0.23987338378121043,0.6646797082611167,1.5786498916980918e-05
1166,CHE,2008-Q4,0.3236803296210025,0.13544312131562072,0.13690116273716965,3.94186616572823,5.0,0.5363419487026798,0.24185126416243966,0.5777683323299683,-0.02505994190778793
1167,CHE,2009-Q1,0.3030494775703644,0.14835764071746285,0.14585582086728932,4.274062347170689,5.0,0.5455472851777946,0.22674793688972616,0.5496710571996564,-0.023554232752639237
1168,CHE,2009-Q2,0.302933983582791,0.14265742055539266,0.13489022078938845,4.71717441248715,5.0,0.5455822682793143,0.224274957752796,0.5704219251777397,0.009527237587519721
1169,CHE,2009-Q3,0.31590477018697166,0.1600795910773865,0.1492139855213071,4.9636093089230995,5.0,0.5435624534384133,0.2267832638882805,0.5718623692229717,-0.0026364580676272453
1170,CHE,2009-Q4,0.3191891846251175,0.1509592067965597,0.13862767452866867,5.09291773993077,5.0,0.5435101161791447,0.22740509621735233,0.5957980702135088,0.01174730143688052
1171,CHE,2010-Q1,0.3327351675416664,0.13164424822073284,0.11924566948175142,5.116145155341901,5.0,0.5427805153861707,0.22654780955694812,0.6443879366398366,0.027384847635550713
1172,CHE,2010-Q2,0.34571176354795,0.13862634069406368,0.12799012316168776,4.961212142551981,5.0,0.5380896695045517,0.2273023500215407,0.6316096657318917,0.0019072698950814981
1173,CHE,2010-Q3,0.3517333426926439,0.13894339456563515,0.13093096301136337,4.739957173697389,5.0,0.5388483206787777,0.22875019516103265,0.6200170503391461,0.001860903488088539
1174,CHE,2010-Q4,0.3612951813978949,0.14004923380930479,0.136006926960203,4.40521723186167,5.0,0.5371264363869674,0.23198221371419342,0.6590121811752623,0.0025705960443591636
1175,CHE,2011-Q1,0.3677178082270822,0.14998634813524658,0.14553970907008495,4.4360083668064405,5.0,0.5317322195935253,0.23278296885199068,0.6884075219800943,-0.003649538064804503
1176,CHE,2011-Q2,0.3743576417220727,0.15342743257750796,0.1517240016954234,4.20673864155003,5.0,0.5298387807449415,0.23114553375460306,0.6497511172521208,-0.0005411292060291117
1177,CHE,2011-Q3,0.3699908554864673,0.15606256280016897,0.1516731537081251,4.429309482552711,5.0,0.5313899731918464,0.23352456883934325,0.629287783489732,-0.003138236883868828
1178,CHE,2011-Q4,0.3784249472281693,0.16795631981366055,0.16190775920988137,4.561881464039071,5.0,0.5330993727625052,0.23769656716151338,0.6503649458091904,-0.0027100331793761256
1179,CHE,2012-Q1,0.37963675274419456,0.16399837042919138,0.160978486610405,4.31395196796072,5.0,0.5357343176949201,0.240541861669407,0.656315568664188,0.0016788388449739955
1180,CHE,2012-Q2,0.3829188538555527,0.16779781120299242,0.16452141122631872,4.33421506828807,5.0,0.5344767608277665,0.23810816622595737,0.6530086723353827,-0.000670889218133297
