,Unnamed: 0,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
2584,65,2006-Q1,979.435,4386.649148410221,4736.28657526438,7.38210032898288,422.211,220.332,424.05300000000005,Sweden,22
2585,66,2006-Q2,995.921,4406.64603257794,4755.09583855137,7.32792393264535,427.228,232.051,423.285,Sweden,22
2586,67,2006-Q3,1006.857,4454.17350389448,4786.3437347661,6.939957706314889,428.476,234.50799999999998,434.173,Sweden,22
2587,68,2006-Q4,1013.26,4470.23131511736,4787.07385141815,6.61871001231627,433.926,238.735,448.269,Sweden,22
2588,69,2007-Q1,1024.481,4503.25881380387,4815.08081073759,6.4759452476552495,437.829,248.903,442.23900000000003,Sweden,22
2589,70,2007-Q2,1029.96,4521.6690709437,4819.6884707358895,6.183374747179309,440.95099999999996,248.81799999999998,450.647,Sweden,22
2590,71,2007-Q3,1037.15,4562.80624978734,4854.356541364021,6.0059513365443395,448.88699999999994,249.109,455.735,Sweden,22
2591,72,2007-Q4,1046.479,4574.9658654651,4865.9741771625,5.980473818854071,453.459,256.907,464.227,Sweden,22
2592,73,2008-Q1,1042.5410000000002,4596.822798210471,4885.94714674799,5.91746778779531,449.983,256.686,474.36,Sweden,22
2593,74,2008-Q2,1040.298,4604.56517183011,4904.64078083387,6.11819748708994,449.852,251.565,468.529,Sweden,22
2594,75,2008-Q3,1034.828,4597.57222015566,4901.4527152912,6.1998046862211,446.599,248.919,464.407,Sweden,22
2595,76,2008-Q4,995.0210000000001,4572.8398098037605,4901.45935712694,6.704524578896179,441.59,248.354,432.63800000000003,Sweden,22
2596,77,2009-Q1,986.623,4536.59920713242,4901.44127506053,7.44356705413342,447.365,223.46099999999998,400.152,Sweden,22
2597,78,2009-Q2,984.595,4506.233481062871,4910.21783480965,8.22742223130813,451.01,218.666,386.025,Sweden,22
2598,79,2009-Q3,982.581,4476.27047311204,4904.823433366229,8.737377931667401,453.032,216.40099999999998,395.64599999999996,Sweden,22
2599,80,2009-Q4,984.7189999999999,4478.19683869267,4920.71745676359,8.9930101038959,455.05300000000005,219.829,395.314,Sweden,22
